"Tag","Name","# lines","Ver.","Catalog","Documentation","Date of entry","Entry in cm-1"
"047516","a-CH3CHDOH","3090","1*","HTML | ASCII","e047516.cat","Aug. 2015",""
"047517","a-a-CH2DCH2OH","3114","1*","HTML | ASCII","e047517.cat","Aug. 2015",""
"047518","a-s-CH2DCH2OH","3095","1*","HTML | ASCII","e047518.cat","Aug. 2015",""
"047519","PO, v = 1, 2","920","2*","HTML | ASCII","e047519.cat","Oct. 2019",""
"047520","PO, v = 3-5","1514","2*","HTML | ASCII","e047520.cat","Oct. 2019",""
"047521","CH3ONH2","5122","1*","HTML | ASCII","e047521.cat","Sep. 2020",""
"047522","13CH3OCH3","22377","1*","HTML | ASCII","e047522.cat","Sep. 2022",""
"047523","CCl+, v = 0","94","1*","HTML | ASCII","e047523.cat","Jun. 2023",""
"047524","SiF+, v = 0, 1","62","1*","HTML | ASCII","e047524.cat","Aug. 2023",""
"047525","SiF+, v = 1 - 0, 2 – 1","219","1*","HTML | ASCII","e047525.cat","Aug. 2023",""
"047526","SiF+, v = 2 - 0","109","1*","HTML | ASCII","e047526.cat","Aug. 2023",""
"047527","trans-HONO","10675","1*","HTML | ASCII","e047527.cat","Nov. 2023",""
"047528","cis-HONO","8913","1*","HTML | ASCII","e047528.cat","Nov. 2023",""
"048501","SO, v = 0","449","1","HTML | ASCII","e048501.cat","Aug. 1998",""
"048502","SO, v = 1","245","1","HTML | ASCII","e048502.cat","Aug. 1998",""
"048503","C36S","75","2","HTML | ASCII","e048503.cat","Jan. 2004",""
"048504","SO, a 1Δ, v = 0, 1","80","1","HTML | ASCII","e048504.cat","July 1999",""
"048505","NaCCH","99","2*","HTML | ASCII","e048505.cat","Oct. 2011",""
"048506","HPO","1461","2","HTML | ASCII","e048506.cat","Aug. 2003",""
"048507","D2CS","2127","3*","HTML | ASCII","e048507.cat","Dec. 2023",""
"048508","H2C34S","1956","2*","HTML | ASCII","e048508.cat","Jan. 2019",""
"048509","N34S","546","1*","HTML | ASCII","e048509.cat","Aug. 2011",""
"048510","CH3SH, vt ≤ 2","39296","2*","HTML | ASCII","e048510.cat","May 2020",""
"048511","30Si18O, v = 0 - 3","444","1*","HTML | ASCII","e048511.cat","Jan. 2014",""
"048512","MgC2","63","1*","HTML | ASCII","e048512.cat","Dec. 2022",""
"048513","13CCl+, v = 0","95","1*","HTML | ASCII","e048513.cat","Jun. 2023",""
"048514","29SiF+, v = 0","31","1*","HTML | ASCII","e048514.cat","Aug. 2023",""
"049501","33SO","1641","1","HTML | ASCII","e049501.cat","Aug. 1998",""
"049502","S17O","2380","1","HTML | ASCII","e049502.cat","Aug. 1998",""
"049503","C4H, v = 0","494","2*","HTML | ASCII","e049503.cat","Feb. 2020",""
"049504","C4H, v7 = 1","592","2*","HTML | ASCII","e049504.cat","Feb. 2020",""
"049505","C4H, v7 = 20","249","2*","HTML | ASCII","e049505.cat","Feb. 2020",""
"049506","C4H, v7 = 22","480","2*","HTML | ASCII","e049506.cat","Feb. 2020",""
"049507","MgCCH","219","1*","HTML | ASCII","e049507.cat","Oct. 2011",""
"049508","13C36S","75","1","HTML | ASCII","e049508.cat","Apr. 2004",""
"049509","C4H-","94","3*","HTML | ASCII","e049509.cat","Jan. 2009",""
"049510","NaCN, NaNC","2574","2*","HTML | ASCII","e049510.cat","Jan. 2012",""
"049511","15N34S","368","1*","HTML | ASCII","e049511.cat","Aug. 2011",""
"049512","HSO","6815","3*","HTML | ASCII","e049512.cat","June 2023",""
"049513","H213C34S","856","1*","HTML | ASCII","e049513.cat","Jan. 2019",""
"049514","C4H, v6 = 1","318","1*","HTML | ASCII","e049514.cat","Feb. 2020",""
"049515","C4H, v5 = 1","488","1*","HTML | ASCII","e049515.cat","Feb. 2020",""
"049516","C4H, v6 = v7 = 1","255","1*","HTML | ASCII","e049516.cat","Feb. 2020",""
"049517","CH3SD, vt ≤ 2","70720","1*","HTML | ASCII","e049517.cat","May 2020",""
"049518","13CH3SH, vt ≤ 2","9308","1*","HTML | ASCII","e049518.cat","May 2020",""
"049519","25MgC2","595","1*","HTML | ASCII","e049519.cat","Dec. 2022",""
"049520","MgC13C","12","1*","HTML | ASCII","e049520.cat","Jan. 2023",""
"049521","C37Cl+, v = 0","93","1*","HTML | ASCII","e049521.cat","Jun. 2023",""
"049522","30SiF+, v = 0","32","1*","HTML | ASCII","e049522.cat","Aug. 2023",""
"050501","34SO","397","1","HTML | ASCII","e050501.cat","Aug. 1998",""
"050502","S18O","359","1","HTML | ASCII","e050502.cat","Aug. 1998",""
"050503","l-C4H2","581","2","HTML | ASCII","e050503.cat","May  2002",""
"050504","MgNC, v = 0","777","1","HTML | ASCII","e050504.cat","Mar. 2000",""
"050505","MgNC, v2 = 1","340","1","HTML | ASCII","e050505.cat","May 2000",""
"050506","C4D","123","3*","HTML | ASCII","e050506.cat","Mar. 2020",""
"050507","13CCCCH","463","2*","HTML | ASCII","e050507.cat","Mar. 2020",""
"050508","C13CCCH","443","2*","HTML | ASCII","e050508.cat","Mar. 2020",""
"050509","CC13CCH","440","2*","HTML | ASCII","e050509.cat","Mar. 2020",""
"050510","CCC13CH","461","2*","HTML | ASCII","e050510.cat","Mar. 2020",""
"050511","C3N, v = 0","866","1","HTML | ASCII","e050511.cat","Dec. 2003",""
"050512","C3N, v5 = 1","558","1","HTML | ASCII","e050512.cat","Dec. 2003",""
"050513","Na13CN, NaN13C","2706","2*","HTML | ASCII","e050513.cat","Jan. 2012",""
"050514","C3N-","99","2*","HTML | ASCII","e050514.cat","Jan. 2010",""
"050515","C4D-","46","1*","HTML | ASCII","e050515.cat","Sep. 2008",""
"050516","N36S","548","1*","HTML | ASCII","e050516.cat","Aug. 2011",""
"050517","H2C36S","1355","1*","HTML | ASCII","e050517.cat","Jan. 2019",""
"050518","CH334SH, vt ≤ 2","45400","1*","HTML | ASCII","e050518.cat","May 2020",""
"050519","26MgC2","61","1*","HTML | ASCII","e050519.cat","Dec. 2022",""
"051501","HC3N, (0,0,0,0)","207","1","HTML | ASCII","e051501.cat","Oct. 2000",""
