"Tag","Name","# lines","Ver.","Date of entry"
"047526","SiF+, v = 2 - 0","109","1*","Aug. 2023"
"047527","trans-HONO","10675","1*","Nov. 2023"
"047527","cis-HONO","8913","1*","Nov. 2023"
"048501","SO, v = 0","449","1","Aug. 1998"
"048502","SO, v = 1","245","1","Aug. 1998"
"048503","C36S","75","2","Jan. 2004"
"048504","SO, a 1Δ, v = 0, 1","80","1","July 1999"
"048505","NaCCH","99","2*","Oct. 2011"
"048506","HPO","1461","2","Aug. 2003"
"048507","D2CS","2127","3*","Dec. 2023"
"048508","H2C34S","1956","2*","Jan. 2019"
"048509","N34S","546","1*","Aug. 2011"
"048510","CH3SH, vt ≤ 2","39296","2*","May 2020"
"048511","30Si18O, v = 0 - 3","444","1*","Jan. 2014"
"048512","MgC2","63","1*","Dec. 2022"
"048513","13CCl+, v = 0","95","1*","Jun. 2023"
"048514","29SiF+, v = 0","31","1*","Aug. 2023"
"049501","33SO","1641","1","Aug. 1998"
"049502","S17O","2380","1","Aug. 1998"
"049503","C4H, v = 0","494","2*","Feb. 2020"
"049504","C4H, v7 = 1","592","2*","Feb. 2020"
"049505","C4H, v7 = 20","249","2*","Feb. 2020"
"049506","C4H, v7 = 22","480","2*","Feb. 2020"
"049507","MgCCH","219","1*","Oct. 2011"
"049508","13C36S","75","1","Apr. 2004"
"049509","C4H-","94","3*","Jan. 2009"
"049510","NaCN, NaNC","2574","2*","Jan. 2012"
"049511","15N34S","368","1*","Aug. 2011"
"049512","HSO","6815","3*","June 2023"
"049513","H213C34S","856","1*","Jan. 2019"
"049514","C4H, v6 = 1","318","1*","Feb. 2020"
"049515","C4H, v5 = 1","488","1*","Feb. 2020"
"049516","C4H, v6 = v7 = 1","255","1*","Feb. 2020"
"049517","CH3SD, vt ≤ 2","70720","1*","May 2020"
"049518","13CH3SH, vt ≤ 2","9308","1*","May 2020"
"049519","25MgC2","595","1*","Dec. 2022"
"049520","MgC13C","12","1*","Jan. 2023"
"049521","C37Cl+, v = 0","93","1*","Jun. 2023"
"049522","30SiF+, v = 0","32","1*","Aug. 2023"
"050501","34SO","397","1","Aug. 1998"
"050502","S18O","359","1","Aug. 1998"
"050503","l-C4H2","581","2","May  2002"
"050504","MgNC, v = 0","777","1","Mar. 2000"
"050505","MgNC, v2 = 1","340","1","May 2000"
"050506","C4D","123","3*","Mar. 2020"
"050507","13CCCCH","463","2*","Mar. 2020"
"050508","C13CCCH","443","2*","Mar. 2020"
"050509","CC13CCH","440","2*","Mar. 2020"
"050510","CCC13CH","461","2*","Mar. 2020"
"050511","C3N, v = 0","866","1","Dec. 2003"
"050512","C3N, v5 = 1","558","1","Dec. 2003"
"050513","Na13CN, NaN13C","2706","2*","Jan. 2012"
"050514","C3N-","99","2*","Jan. 2010"
"050515","C4D-","46","1*","Sep. 2008"
"050516","N36S","548","1*","Aug. 2011"
"050517","H2C36S","1355","1*","Jan. 2019"
"050518","CH334SH, vt ≤ 2","45400","1*","May 2020"
"050519","26MgC2","61","1*","Dec. 2022"
"051501","HC3N, (0,0,0,0)","207","1","Oct. 2000"
"051502","HC3N, (0,0,0,1)","458","1","Oct. 2000"
"051503","HC3N, (0,0,0,2)","528","1","Oct. 2000"
"051504","HC3N, (0,0,1,0)","320","1","Oct. 2000"
"051505","HC3N, (0,0,1,1)","480","2*","Nov. 2011"
"051506","HC3N, (1,0,0,0)","112","2*","Apr. 2012"
"051507","HC3N, (1,0,0,1)","248","1","Oct. 2000"
"051508","HC3N, (0,1,0,0)/(0,0,0,3)","699","1","Nov. 2000"
"051509","HC3N, (1,0,0,2)/(0,2,0,0)0e","472","1","Oct. 2000"
"051510","KC","257","1","Jan. 2001"
"051511","13CCCN","1011","1","Dec. 2003"
"051512","C13CCN","1014","1","Dec. 2003"
"051513","CC13CN","996","1","Dec. 2003"
"051514","C315N","312","1","Dec. 2003"
"051515","l-13CC3H2","220","1*","Mar. 2006"
"051516","l-C13CC2H2","104","1*","Mar. 2006"
"051517","l-C213CCH2","210","1*","Mar. 2006"
"051518","l-C313CH2","218","1*","Mar. 2006"
"051519","HC3N, v3 = 1","96","1*","Oct. 2007"
"051520","HC3N, v2 = 1","98","1*","Oct. 2007"
"051521","l-C4HD","35","1*","June 2009"
"051522","HC3N, ν3 band","191","1*","Dec. 2011"
"051523","HC3N, ν2 band","205","1*","Dec. 2011"
"051524","HC3N, ν1 band","261","1*","Dec. 2011"
"051525","HC3N, (0,0,0,4)/(0,1,0,1)","1052","1*","Apr. 2012"
"051526","HC3N, (0,0,2,0)","319","1*","Apr. 2012"
"051527","HMgNC","45","1*","Sep. 2013"
"051528","HNC3","79","1*","Nov. 2017"
"051529","AlC2","262","1*","Apr. 2018"
"051530","CH2DCl","7236","1*","Aug. 2020"
"052501","C3O, v = 0","115","2*","Jan. 2009"
"052502","36SO","330","1","Aug. 1998"
"052503","HC3NH+","149","1","Dec. 2000"
"052504","KCH","197","1","Jan. 2001"
"052505","CaC","205","1","Oct. 2002"
"052506","H2CCHCCH (C4H4)","4096","2","June 2004"
"052507","(c-C3H2)CH2 (C4H4)","5020","1","June 2004"
"052508","DC3N, v = 0","135","2*","Mar. 2008"
"052509","H13CCCN, v = 0","119","1","Dec. 2004"
"052510","HC13CCN, v = 0","120","1","Dec. 2004"
"052511","HCC13CN, v = 0","120","1","Dec. 2004"
"052512","HCCC15N, v = 0","119","1","Dec. 2004"
"052513","DC3N, v7 = 1","276","2*","Mar. 2008"
"052514","H13CCCN, v7 = 1","196","1*","Mar. 2005"
"052515","HC13CCN, v7 = 1","196","1*","Mar. 2005"
"052516","HCC13CN, v7 = 1","196","1*","Mar. 2005"
"052517","HCCC15N, v7 = 1","196","1*","Mar. 2005"
"052518","H13CCCN, v7 = 2","264","1*","Dec. 2005"
"052519","HC13CCN, v7 = 2","263","1*","Dec. 2005"
"052520","HCC13CN, v7 = 2","261","1*","Dec. 2005"
"052521","H13CCCN, v6 = 1","196","1*","Jan. 2006"
"052522","HC13CCN, v6 = 1","196","1*","Jan. 2006"
"052523","HCC13CN, v6 = 1","196","1*","Jan. 2006"
"052524","H13CCCN, v5 = 1 / v7 = 3","470","1*","Jan. 2006"
"052525","HC13CCN, v5 = 1 / v7 = 3","468","1*","Jan. 2006"
"052526","HCC13CN, v5 = 1 / v7 = 3","592","1*","Jan. 2006"
"052527","SiC2, v = 0","2623","3*","Dec. 2011"
"052528","SiC2, v3 = 1","795","2*","Oct. 2015"
"052529","SiC2, v3 = 2","565","2*","Oct. 2015"
"052530","C3O, v5 = 1","221","1*","Jan. 2009"
"052531","H13CCCN, (0,0,1,1)","388","1*","Nov. 2011"
"052532","HC13CCN, (0,0,1,1)","384","1*","Nov. 2011"
"052533","HCC13CN, (0,0,1,1)","424","1*","Nov. 2011"
"052534","HCC13CN, (1,0,0,0)","96","1*","Nov. 2011"
"052535","HCC13CN, (1,0,0,1)","192","1*","Nov. 2011"
"052536","AlCCH","101","1*","Sep. 2012"
"052537","SiC2, v3 = 3","126","1*","Oct. 2015"
"052538","SiC2, v3 = 4","122","1*","Oct. 2015"
"052539","HCCNCH+","39","1*","Mar. 2022"
"053501","AlNC","85","1","Dec. 2003"
"053502","SiCCH","862","1","Jan. 2002"
"053503","HC13C13CN, v = 0","133","1","Jan. 2003"
"053504","H13CC13CN, v = 0","137","1","Feb. 2003"
"053505","AlCN","40","1","Dec. 2003"
"053506","HCC13C15N","113","1","Jan. 2003"
"053507","t-HC3O","8688","1","Apr. 2003"
"053508","H13C13CCN, v = 0","99","1","Dec. 2004"
"053509","Si13CC","1970","1*","Jan. 2008"
"053510","29SiC2","1470","2*","Dec. 2011"
"053511","D13CCCN","130","1*","Mar. 2008"
"053512","DC13CCN","128","1*","Mar. 2008"
"053513","DCC13CN","129","1*","Mar. 2008"
"053514","DC315N","130","1*","Mar. 2008"
"053515","C2H3CN, v = 0","18561","1*","May 2008"
"053516","13CCCO","98","1*","Feb. 2009"
"053517","C13CCO","96","1*","Feb. 2009"
"053518","CC13CO","96","1*","Feb. 2009"
"053519","NCCNH+","97","1*","July 2015"
"053520","52CrH","119","1*","Mar. 2019"
"053521","CH2D37Cl","7251","1*","Sep. 2020"
"053522","HC3O+","80","2*","Jul. 2023"
"053523","Z-HC3HNH","8218","1*","Aug. 2022"
"053524","E-HC3HNH","4829","1*","Aug. 2022"
"054501","SiCN","1412","2","Jan. 2002"
"054502","SiNC","1502","1","Jan. 2002"
"054503","l-H2C3O","4169","1","Feb. 2002"
"054504","c-H2C3O","4744","2*","Feb. 2021"
"054505","30SiC2","1465","2*","Dec. 2011"
"054506","H213CCHCN, v = 0","13964","1*","May 2008"
"054507","H2C13CHCN, v = 0","13960","1*","May 2008"
"054508","H2CCH13CN, v = 0","13700","1*","May 2008"
"054509","H2CCHC15N","11704","1*","May 2008"
"054510","HCCCHO","9208","1*","Dec. 2008"
"054511","C318O","95","1*","Feb. 2009"
"054512","E-HNCHCN","9944","2*","Nov. 2018"
"054513","Z-HNCHCN","8114","2*","Nov. 2018"
"054514","H2CNCN","8243","1*","Feb. 2014"
"054515","NCCND+","96","1*","July 2015"
"054516","NC13CNH+","94","1*","July 2015"
"054517","N13CCNH+","94","1*","July 2015"
"054518","CH2CHCNH+","851","1*","July 2015"
"054519","C2H5CCH","9187","1*","Mar. 2017"
"054520","c-H2C2Si","1838","1*","Sep. 2017"
"054521","H2C2Si","82","1*","Sep. 2017"
"055501","HC(O)CN","10103","1*","June 2006"
"055502","C2H5CN, v = 0","39010","2*","Aug. 2009"
"055503","CCP","922","2*","Apr. 2009"
"055504","C3F","242","1*","Sep. 2011"
"055505","HSiCN","862","1*","Sep. 2013"
"055506","HSiNC","717","1*","Sep. 2013"
"055507","C2H5NC","18963","1*","May 2018"
"055508","NaS","320","1*","Aug. 2018"
"055509","HCCCH2NH2","11372","1*","Sep. 2019"
"055510","c-HDC3O","2088","1*","Feb. 2021"
"055511","c-H2C213CO","1758","1*","Feb. 2021"
"055512","c-H213CCCO","1850","1*","Feb. 2021"
"055513","C2H5CN, v20 = 1-A","20766","1*","Oct. 2016"
"055514","C2H5CN, v12 = 1-A","18271","1*","Oct. 2016"
"055515","DCCCHO","3979","1*","Mar. 2018"
"055516","HCCCDO","58","1*","Mar. 2018"
"055517","HCC13CHO","29","1*","Mar. 2018"
"055518","HC13CCHO","29","1*","Mar. 2018"
"055519","H13CCCHO","29","1*","Mar. 2018"
